NAMESPACE          NAME                                         READY   STATUS    RESTARTS   AGE    IP            NODE                                        NOMINATED NODE   READINESS GATES
admin-devspaces    workspace7e1f1b113b9142f8-7698fc7856-57bzk   2/2     Running   0          98m    10.129.0.31   ip-10-0-246-28.eu-west-1.compute.internal   <none>           <none>
user10-devspaces   workspace8061122a1dd64187-7f885d8777-8jxd4   3/3     Running   0          107s   10.130.0.37   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user2-devspaces    workspacec9dd86108668420c-6b887d9987-tw7lq   3/3     Running   0          2m5s   10.130.0.29   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user3-devspaces    workspace5d834ced30bb4869-79d946b6d7-b56f7   3/3     Running   0          2m2s   10.130.0.30   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user4-devspaces    workspace761154d261034d12-5794c4cdfc-db9nd   3/3     Running   0          2m     10.130.0.31   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user5-devspaces    workspaceb2ebf8bdb8b64757-54c4459575-csd6q   3/3     Running   0          118s   10.130.0.32   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user6-devspaces    workspaceb258fda285c846f7-66976bfb9-n5wxv    3/3     Running   0          115s   10.130.0.33   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user7-devspaces    workspacee2da5508b3ba4a0e-58bb799cfc-bxdtj   3/3     Running   0          113s   10.130.0.34   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user8-devspaces    workspacede98754db22c43c3-6cc8b9ccfd-96cbm   3/3     Running   0          111s   10.130.0.35   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
user9-devspaces    workspaced877b86874214b94-69b8f44698-qvkg7   3/3     Running   0          109s   10.130.0.36   ip-10-0-200-75.eu-west-1.compute.internal   <none>           <none>
