NAMESPACE           NAME                                         READY   STATUS    RESTARTS   AGE     IP            NODE                                         NOMINATED NODE   READINESS GATES
admin-devspaces     workspace7e1f1b113b9142f8-7698fc7856-57bzk   2/2     Running   0          106m    10.129.0.31   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user10-devspaces    workspace8061122a1dd64187-7f885d8777-8jxd4   3/3     Running   0          9m40s   10.130.0.37   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user100-devspaces   workspace8f4b6d9acb2d4d5f-9c7db8947-8gdp7    3/3     Running   0          48s     10.130.0.54   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user11-devspaces    workspaceb6106274163b4d40-659b5c9c78-2ffpl   3/3     Running   0          7m21s   10.130.0.38   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user12-devspaces    workspace53f4ab0145214022-576774bf56-tzzcn   3/3     Running   0          7m19s   10.130.0.39   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user13-devspaces    workspaceceb1074c8d5643f2-6c7f85bf7d-x5qcl   3/3     Running   0          7m17s   10.130.0.40   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user14-devspaces    workspace53702829c1ea44f7-58b7d45bc8-vlfdt   3/3     Running   0          7m15s   10.130.0.41   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user15-devspaces    workspacefb92d00369134786-744cfbb565-tkzqd   3/3     Running   0          7m13s   10.130.0.42   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user16-devspaces    workspace3c5ae92c97414fe0-cd6b55448-ntdv9    3/3     Running   0          7m10s   10.128.2.8    ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user17-devspaces    workspace3f5ff3fb18e849e1-5fdd486bd7-5bmk4   3/3     Running   0          7m8s    10.128.2.9    ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user18-devspaces    workspacebd007e168f424cc6-57bd7f5b67-qcl2f   3/3     Running   0          7m6s    10.130.0.43   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user19-devspaces    workspacede9cc681fe2f475b-74fdf589fc-86wgx   3/3     Running   0          7m4s    10.129.0.33   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user2-devspaces     workspacec9dd86108668420c-6b887d9987-tw7lq   3/3     Running   0          9m58s   10.130.0.29   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user20-devspaces    workspace41269a8fa7ca48b2-5b898c99c-nx8qf    3/3     Running   0          7m1s    10.131.0.41   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user21-devspaces    workspacecee40097e7a34a5b-8b8f45475-cp8jp    3/3     Running   0          6m59s   10.128.2.10   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user22-devspaces    workspacebd930ae6df734fa8-55cb877947-cqz5p   3/3     Running   0          6m57s   10.130.0.44   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user23-devspaces    workspace6718cd8623ee4bc0-778c7b448b-dmddt   3/3     Running   0          6m55s   10.128.2.11   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user24-devspaces    workspace2f837a8f462740d5-568c76fb47-8g9xr   3/3     Running   0          6m52s   10.131.0.42   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user25-devspaces    workspace23f080dc541146df-55c8784565-6gdnv   3/3     Running   0          6m50s   10.129.0.34   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user26-devspaces    workspace27efdb09f9014452-5ddb94d6c8-mckkl   3/3     Running   0          6m48s   10.129.0.35   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user27-devspaces    workspace1a772c3ae5fe4ecc-5c496c5cdc-6t9sl   3/3     Running   0          6m46s   10.131.0.43   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user28-devspaces    workspaceb434c9b720794ce4-7c4f65bdcd-5qvfk   3/3     Running   0          6m44s   10.130.0.45   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user29-devspaces    workspace634456587b264534-9f9bffb6d-7jc57    3/3     Running   0          6m42s   10.128.2.12   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user3-devspaces     workspace5d834ced30bb4869-79d946b6d7-b56f7   3/3     Running   0          9m55s   10.130.0.30   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user30-devspaces    workspace154c5604e9024316-76f874cf76-8c54k   3/3     Running   0          6m40s   10.130.0.46   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user31-devspaces    workspaceaf028e1d30804aab-78864765f-wpz8v    3/3     Running   0          6m38s   10.131.0.44   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user32-devspaces    workspaced80bd6f8d608413d-98d895d4c-t9j7g    3/3     Running   0          6m36s   10.129.0.36   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user33-devspaces    workspaced15655e9c0b44ad6-76bd564576-qndkj   3/3     Running   0          6m34s   10.130.0.47   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user34-devspaces    workspacedde90abfe37b4304-6fc7d8d857-72zl6   3/3     Running   0          6m31s   10.128.2.13   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user35-devspaces    workspace7c2348d6c46546aa-799d7765b8-mqs72   3/3     Running   0          6m29s   10.129.0.37   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user36-devspaces    workspace89bda473b9b246ac-5f74547474-lkljq   3/3     Running   0          6m27s   10.131.0.46   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user37-devspaces    workspaceda7ea8265b4248b1-6dd5d48965-fs2p6   3/3     Running   0          6m25s   10.130.0.49   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user38-devspaces    workspace7886254aebaa43da-769cc65d4f-v677k   3/3     Running   0          6m23s   10.128.2.15   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user39-devspaces    workspace9ba7169bab7a4790-6bffc646fb-5zwqc   3/3     Running   0          6m21s   10.129.0.39   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user4-devspaces     workspace761154d261034d12-5794c4cdfc-db9nd   3/3     Running   0          9m53s   10.130.0.31   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user40-devspaces    workspaceff2e4794a7394055-66fdc4d66d-5fk4x   3/3     Running   0          6m18s   10.128.2.16   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user41-devspaces    workspace592dc43e0e8949e7-f6f44ccd8-8flfn    3/3     Running   0          6m16s   10.131.0.47   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user42-devspaces    workspace3ffc19d387464240-798999fc4-575fg    3/3     Running   0          6m13s   10.130.0.50   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user43-devspaces    workspace3674096e18d24daf-bf6858b55-27nzk    3/3     Running   0          6m10s   10.129.0.40   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user44-devspaces    workspace6abe9dbce91a47a7-7b6d698499-jzks2   3/3     Running   0          6m8s    10.128.2.17   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user45-devspaces    workspace9eef51db572f40bc-7fc7fdb887-7dpwd   3/3     Running   0          6m6s    10.131.0.48   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user46-devspaces    workspace416f181acc16483a-c9797b495-jp2dc    3/3     Running   0          6m4s    10.130.0.51   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user47-devspaces    workspacea9d3ffcdbce6431e-654c9f5c9d-tnnbl   3/3     Running   0          6m1s    10.129.0.41   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user48-devspaces    workspace4ddba38cbe3a4aee-84555cfbbc-qwj96   3/3     Running   0          5m59s   10.128.2.18   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user49-devspaces    workspacef125272d4dfd44c4-5b549f978f-qgd9p   3/3     Running   0          5m56s   10.131.0.49   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user5-devspaces     workspaceb2ebf8bdb8b64757-54c4459575-csd6q   3/3     Running   0          9m51s   10.130.0.32   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user50-devspaces    workspace623a90d8b6924fd3-59b8d56b7b-bfmhg   3/3     Running   0          5m54s   10.130.0.52   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user51-devspaces    workspacec86116bff33646dd-5b4bc9bc84-bw94v   3/3     Running   0          2m41s   10.131.0.51   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user52-devspaces    workspacecc6eb0d97ab74762-59966d5df6-2hn2p   3/3     Running   0          2m39s   10.128.2.19   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user53-devspaces    workspace79453e0868a14027-7f55669c47-tchh7   3/3     Running   0          2m37s   10.129.0.42   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user54-devspaces    workspace6adb789affff41ed-648998b9fd-9k9p5   3/3     Running   0          2m34s   10.131.0.52   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user55-devspaces    workspacef9d75b26539d4056-6d8599b6b6-crglr   3/3     Running   0          2m32s   10.128.2.20   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user56-devspaces    workspaceb09cc4aabbd047f5-7cd86d69c4-hd2cc   3/3     Running   0          2m30s   10.129.0.43   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user57-devspaces    workspacea9c4c9c4480a4382-67cb7b956-tcjsw    3/3     Running   0          2m28s   10.131.0.53   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user58-devspaces    workspacebad60d22141346a4-549b8f665-fx457    3/3     Running   0          2m26s   10.128.2.21   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user59-devspaces    workspace6b6d213b5a6e47e8-77fb75c78b-t8fz5   3/3     Running   0          2m24s   10.131.0.54   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user6-devspaces     workspaceb258fda285c846f7-66976bfb9-n5wxv    3/3     Running   0          9m48s   10.130.0.33   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user60-devspaces    workspace6a2696204e9e41f8-54488598cc-7jmdh   3/3     Running   0          2m22s   10.129.0.44   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user61-devspaces    workspace44cc90af3ac44a44-7b46cd45c5-w4tvd   3/3     Running   0          2m19s   10.128.2.22   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user62-devspaces    workspace65568a23ac5c4a08-7d959d44-tl4zp     3/3     Running   0          2m17s   10.129.0.45   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user63-devspaces    workspacebc34a259bc384d25-65f6d6ccb-lq7tf    3/3     Running   0          2m15s   10.128.2.23   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user64-devspaces    workspacea08ad8c6c6da46af-784fd6d59b-hxwg9   3/3     Running   0          2m13s   10.131.0.55   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user65-devspaces    workspace526f5f9f08ee431c-6cbc948df6-qdsfb   3/3     Running   0          2m11s   10.129.0.46   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user66-devspaces    workspacedb57296c74554696-7bfd7cc549-lgwjr   3/3     Running   0          2m9s    10.131.0.56   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user67-devspaces    workspace5fe1d5a2f39043a9-7b67cb86dc-hxjqp   3/3     Running   0          2m7s    10.128.2.24   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user68-devspaces    workspace88c14761a03548e9-866df644b6-2mwks   3/3     Running   0          2m5s    10.129.0.47   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user69-devspaces    workspacecb6bf23140f44cb1-59b6cf8f64-j7hlv   3/3     Running   0          2m2s    10.131.0.57   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user7-devspaces     workspacee2da5508b3ba4a0e-58bb799cfc-bxdtj   3/3     Running   0          9m46s   10.130.0.34   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user70-devspaces    workspace471262e15ec441de-ff6d44c7c-g6fpd    3/3     Running   0          2m      10.128.2.25   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user71-devspaces    workspacec71bcdaa09b24df7-7b7757bd5c-sxqn5   3/3     Running   0          118s    10.129.0.48   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user72-devspaces    workspace1f112999c51b4133-7755b7857c-7b9r8   3/3     Running   0          116s    10.131.0.58   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user73-devspaces    workspace7afbca213bac48aa-fbc4b94d5-lt2ww    3/3     Running   0          114s    10.128.2.26   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user74-devspaces    workspace629403f4b5404cc6-757f4fdb74-s6hdl   3/3     Running   0          112s    10.131.0.59   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user75-devspaces    workspaced603b5e278384656-6885cbdd77-np6g5   3/3     Running   0          109s    10.129.0.49   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user76-devspaces    workspace9f7d10f3d9b6412f-7bd88f4545-ffh95   3/3     Running   0          107s    10.128.2.27   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user77-devspaces    workspace59578706d597437d-6c68bfc8cf-gf6f6   3/3     Running   0          105s    10.129.0.50   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user78-devspaces    workspace9472af09ba354b56-5547bf4cf9-hrsbf   3/3     Running   0          102s    10.131.0.60   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user79-devspaces    workspace0345f777ce914e51-746888c5cf-2h762   3/3     Running   0          99s     10.128.2.28   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user8-devspaces     workspacede98754db22c43c3-6cc8b9ccfd-96cbm   3/3     Running   0          9m44s   10.130.0.35   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user80-devspaces    workspacea7e1bf13062a4083-54dbc55876-6cjsv   3/3     Running   0          97s     10.129.0.51   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user81-devspaces    workspace46756d652f3e4e40-5b4579448f-bgbjc   3/3     Running   0          94s     10.131.0.61   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user82-devspaces    workspacec09116f0e9d3432c-587b6c8fc6-74jbw   3/3     Running   0          92s     10.129.0.52   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user83-devspaces    workspacea1889cf8bc0b4ad4-6df5d876dd-r6j9t   3/3     Running   0          89s     10.128.2.29   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user84-devspaces    workspacef84a7b1c94394743-684d7b6f58-447wn   3/3     Running   0          87s     10.128.2.30   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user85-devspaces    workspace7220d75e34c741b5-7cb6bf87d7-t4k4p   3/3     Running   0          84s     10.129.0.53   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
